SYNONYM,SYMBOL
FAM198B,GASK1B
FAM19A1,TAFA1
FAM19A2,TAFA2
FAM19A3,TAFA3
FAM19A4,TAFA4
FAM19A5,TAFA5
FAM21A,WASHC2A
FAM21C,WASHC2C
FAM26D,CALHM4
FAM26E,CALHM5
FAM26F,CALHM6
FAM27L,FAM27E5
FAM35A,SHLD2
FAM35BP,SHLD2P1
FAM45A,DENND10
FAM45B,DENND10P1
FAM46A,TENT5A
FAM46B,TENT5B
FAM46C,TENT5C
FAM46D,TENT5D
FAM49A,CYRIA
FAM57A,TLCD3A
FAM57B,TLCD3B
FAM58A,CCNQ
GAREM,GAREM1
FAM60A,SINHCAF
FAM63A,MINDY1
FAM63B,MINDY2
FAM64A,PIMREG
FAM65A,RIPOR1
FAM65B,RIPOR2
FAM65C,RIPOR3
FAM69A,DIPK1A
FAM69B,DIPK1B
FAM69C,DIPK1C
FAM71B,GARIN3
FAM71C,GARIN6
FAM71D,GARIN2
FAM71E1,GARIN5A
FAM71E2,GARIN5B
FAM71F1,GARIN1B
FAM71F2,GARIN1A
FAM73A,MIGA1
FAM73B,MIGA2
FAM84A,LRATD1
FAM84B,LRATD2
FAM86C1,FAM86C1P
FAM92A1,CIBAR1
FAM92A1P2,CIBAR1P2
FAM92B,CIBAR2
FAM96A,CIAO2A
FAM96B,CIAO2B
FBXL21,FBXL21P
FBXO18,FBH1
FDX1L,FDX2
FGFR1OP,CEP43
FIGF,VEGFD
LINC00982,PRDM16-DT
LINC00643,SERTAD4BP
FRG1B,FRG1BP
FTSJ2,MRM2
FUK,FCSK
FYB,FYB1
G6PC,G6PC1
GATSL3,CASTOR1
GATS,CASTOR3P
GBAS,NIPSNAP2
GCN1L1,GCN1
GIF,CBLIF
GLTSCR1,BICRA
GLTSCR2,NOP53
GNB2L1,RACK1
ADGRF2,ADGRF2P
GPR1,CMKLR2
GRAMD2,GRAMD2A
GRAMD3,GRAMD2B
GSG2,HASPIN
GUCY1A3,GUCY1A1
GUCY1B3,GUCY1B1
GYLTL1B,LARGE2
H1F0,H1-0
H1FNT,H1-7
H1FOO,H1-8
H1FX,H1-10
H2AFB1,H2AB1
H2AFJ,H2AJ
H2AFV,H2AZ2
H2AFX,H2AX
H2AFY2,MACROH2A2
H2AFY,MACROH2A1
H2AFZ,H2AZ1
H2BFM,H2BW2
H2BFWT,H2BW1
H3F3C,H3-5
HARS,HARS1
HDHD1,PUDP
HEXDC,HEXD
HHLA3,ANKRD13C-DT
HIAT1,MFSD14A
HIATL1,MFSD14B
HIATL2,MFSD14CP
HIST1H1A,H1-1
HIST1H1B,H1-5
HIST1H1C,H1-2
HIST1H1D,H1-3
HIST1H1E,H1-4
HIST1H1T,H1-6
HIST1H2AA,H2AC1
HIST1H2AB,H2AC4
HIST1H2AC,H2AC6
HIST1H2AD,H2AC7
HIST1H2AE,H2AC8
HIST1H2AG,H2AC11
HIST1H2AH,H2AC12
HIST1H2AJ,H2AC14
HIST1H2AK,H2AC15
HIST1H2AL,H2AC16
HIST1H2AM,H2AC17
HIST1H2BA,H2BC1
HIST1H2BB,H2BC3
HIST1H2BC,H2BC4
HIST1H2BD,H2BC5
HIST1H2BE,H2BC6
HIST1H2BF,H2BC7
HIST1H2BG,H2BC8
HIST1H2BH,H2BC9
HIST1H2BI,H2BC10
HIST1H2BJ,H2BC11
